"Year","Month","Commercial Imports","Government Imports","Total","Domestic FOB","Re-Exports","Total FOB","Trade Balance"
"2011","August","135,428.84","693.84","136,122.68","44,038.41","2,232.16","46,270.57","-89,852.11"
"2011","July","100,558.31","2,340.08","102,898.39","40,923.81","3,742.18","44,665.99","-58,232.40"
"2011","June","103,681.95","622.84","104,304.80","41,373.62","2,440.64","43,814.26","-60,490.54"
"2011","May","115,375.10","1,454.89","116,829.99","38,834.83","1,939.97","40,774.79","-76,055.20"
"2011","April","85,537.44","1,450.51","86,987.95","37,536.60","1,880.60","39,417.20","-47,570.75"
"2011","March","109,190.50","542.39","109,732.89","41,340.64","2,534.88","43,875.51","-65,857.37"
"2011","February","85,089.07","469.35","85,558.42","36,560.99","2,223.41","38,784.40","-46,774.01"
"2011","January","90,058.50","469.35","90,527.85","33,792.47","1,665.31","35,457.78","-55,070.07"
"2010","December","92,661.30","750.40","93,411.69","38,369.82","1,856.69","40,226.51","-53,185.19"
"2010","November","101,974.51","750.40","102,724.91","36,091.88","3,190.26","39,282.14","-63,442.77"
"2010","October","79,515.23","3,166.64","82,681.88","29,902.42","2,350.00","32,252.42","-50,429.46"
"2010","September","87,230.19","1,410.33","88,640.52","32,578.09","2,465.74","35,043.83","-53,596.69"
"2010","August","72,422.63","593.53","73,016.16","28,735.17","1,574.67","30,309.84","-42,706.32"
"2010","July","79,136.45","1,429.77","80,566.22","33,174.79","1,660.60","34,835.39","-45,730.83"
"2010","June","77,953.17","1,255.05","79,208.22","31,756.29","1,283.20","33,039.49","-46,168.73"
"2010","May","80,122.31","194.44","80,316.75","31,328.55","1,913.15","33,241.70","-47,075.06"
"2010","April","71,854.06","253.28","72,107.34","28,701.64","2,567.61","31,269.25","-40,838.09"
"2010","March","75,103.60","129.83","75,233.43","33,175.50","1,568.42","34,743.93","-40,489.50"
"2010","February","59,155.75","1,171.83","60,327.58","31,171.29","2,183.55","33,354.84","-26,972.74"
"2010","January","69,779.09","1,419.80","71,198.89","28,314.12","2,288.46","30,602.58","-40,596.31"
